id,Analytical thinking,Systemic thinking,Adaptability,Focus,period_1,period_2,period_3,period_4
10311,0,0,0,0,1.0,1.0,7.0,4.0
10615,0,0,0,0,6.0,2.0,6.0,5.0
10450,0,0,0,0,10.0,11.0,12.0,9.0
10110,0,0,0,0,1.0,15.0,17.0,5.0
10622,0,0,0,0,12.516806722689076,1.0,22.843866171003718,17.05426356589147
10456,0,0,0,0,6.0,16.0,39.0,5.0
10316,0,0,0,0,32.0,37.0,61.0,14.0
10891,0,0,0,0,3.0,15.0,28.0,13.0
10868,0,0,0,0,3.0,8.0,20.0,14.0
10198,0,0,0,0,22.0,10.0,20.0,29.0
10377,0,0,0,0,12.516806722689076,16.694117647058825,22.843866171003718,18.0
10638,0,0,0,0,10.0,1.0,14.0,15.0
10617,0,0,0,0,4.0,10.0,24.0,17.05426356589147
10559,0,0,0,0,12.516806722689076,16.694117647058825,1.0,19.0
10669,0,0,0,0,13.0,21.0,18.0,7.0
10137,0,0,0,0,12.516806722689076,8.0,40.0,1.0
10332,0,0,0,0,1.0,4.0,18.0,6.0
10394,0,0,0,0,38.0,40.0,21.0,21.0
10184,0,0,0,0,15.0,30.0,21.0,13.0
10881,0,0,0,0,12.516806722689076,4.0,22.843866171003718,17.05426356589147
10449,0,0,0,0,15.0,11.0,10.0,21.0
10788,0,0,0,0,2.0,16.694117647058825,1.0,17.05426356589147
10168,0,0,0,0,31.0,27.0,47.0,22.0
10951,0,0,0,0,12.516806722689076,16.694117647058825,1.0,32.0
10382,0,0,0,0,13.0,15.0,22.843866171003718,3.0
10696,0,0,0,0,1.0,11.0,16.0,4.0
10078,0,0,0,0,1.0,19.0,40.0,2.0
10029,0,0,0,0,4.0,1.0,22.843866171003718,1.0
10260,0,0,0,0,40.0,25.0,68.0,35.0
10331,0,0,0,0,32.0,25.0,25.0,17.0
10859,0,0,0,0,1.0,10.0,22.0,18.0
10626,0,0,0,0,13.0,4.0,7.0,21.0
10165,0,0,0,0,12.516806722689076,16.694117647058825,2.0,3.0
10731,0,0,0,0,12.516806722689076,16.694117647058825,1.0,1.0
10898,0,0,0,0,10.0,20.0,13.0,16.0
10065,0,0,0,0,2.0,32.0,29.0,20.0
10141,0,0,0,0,7.0,5.0,6.0,1.0
10210,0,0,0,0,30.0,13.0,10.0,15.0
10746,0,0,0,0,11.0,3.0,19.0,6.0
10292,0,0,0,0,7.0,29.0,11.0,17.05426356589147
10847,0,0,0,0,12.516806722689076,8.0,17.0,16.0
10266,0,0,0,0,22.0,25.0,17.0,3.0
10371,0,0,0,0,4.0,33.0,44.0,15.0
10810,0,0,0,0,9.0,51.0,65.0,39.0
10581,0,0,0,0,11.0,30.0,24.0,16.0
10900,0,0,0,0,23.0,21.0,14.0,9.0
10049,0,0,0,0,12.516806722689076,1.0,1.0,17.05426356589147
10708,0,0,0,0,11.0,54.0,28.0,12.0
10904,0,0,0,0,32.0,12.0,22.0,28.0
10490,0,0,0,0,2.0,16.694117647058825,7.0,9.0
10327,0,0,0,0,19.0,38.0,46.0,26.0
10879,0,0,0,0,26.0,33.0,20.0,13.0
10521,0,0,0,0,12.516806722689076,16.694117647058825,18.0,10.0
10925,0,0,0,0,12.516806722689076,16.694117647058825,2.0,3.0
10968,0,0,0,0,1.0,2.0,16.0,6.0
10365,0,0,0,0,12.516806722689076,16.694117647058825,5.0,17.05426356589147
10936,0,0,0,0,5.0,2.0,5.0,7.0
10033,0,0,0,0,2.0,8.0,22.843866171003718,5.0
10031,0,0,0,0,1.0,1.0,18.0,10.0
10823,0,0,0,0,18.0,16.694117647058825,22.843866171003718,17.05426356589147
10192,0,0,0,0,26.0,46.0,95.0,58.0
10312,0,0,0,0,25.0,23.0,35.0,9.0
10807,0,0,0,0,12.516806722689076,1.0,22.843866171003718,1.0
10552,0,0,0,0,9.0,20.0,53.0,27.0
10558,0,0,0,0,19.0,24.0,15.0,7.0
10921,0,0,0,0,24.0,8.0,14.0,5.0
10109,0,0,0,0,21.0,5.0,32.0,31.0
10440,0,0,0,0,5.0,12.0,14.0,9.0
10077,0,0,0,0,17.0,17.0,37.0,13.0
10783,0,0,0,0,4.0,2.0,2.0,7.0
10542,0,0,0,0,3.0,6.0,11.0,15.0
10082,0,0,0,0,1.0,11.0,34.0,34.0
10361,0,0,0,0,1.0,9.0,5.0,16.0
10485,0,0,0,0,12.516806722689076,1.0,16.0,16.0
10507,0,0,0,0,26.0,30.0,15.0,41.0
10628,0,0,0,0,10.0,52.0,42.0,23.0
10500,0,0,0,0,40.0,18.0,34.0,30.0
10905,0,0,0,0,12.516806722689076,5.0,32.0,17.05426356589147
10002,0,0,0,0,12.516806722689076,9.0,25.0,22.0
10101,0,0,0,0,19.0,8.0,29.0,48.0
10363,0,0,0,0,12.516806722689076,8.0,13.0,17.0
10451,0,0,0,0,1.0,1.0,22.843866171003718,17.05426356589147
10286,0,0,0,0,12.516806722689076,2.0,2.0,1.0
10208,0,0,0,0,3.0,9.0,4.0,1.0
10265,0,0,0,0,16.0,10.0,20.0,5.0
10005,0,0,0,0,14.0,34.0,31.0,17.05426356589147
10054,0,0,0,0,50.0,64.0,79.0,22.0
10715,0,0,0,0,15.0,12.0,14.0,12.0
10848,0,0,0,0,15.0,9.0,12.0,1.0
10971,0,0,0,0,22.0,26.0,12.0,25.0
10436,0,0,0,0,2.0,16.694117647058825,2.0,7.0
10097,0,0,0,0,1.0,16.694117647058825,1.0,1.0
10589,0,0,0,0,4.0,18.0,29.0,20.0
10204,0,0,0,0,4.0,5.0,11.0,23.0
10244,0,0,0,0,15.0,16.0,13.0,6.0
10620,0,0,0,0,1.0,3.0,11.0,5.0
10934,0,0,0,0,19.0,10.0,54.0,42.0
10519,0,0,0,0,12.516806722689076,16.694117647058825,5.0,2.0
10334,0,0,0,0,24.0,8.0,17.0,6.0
10845,0,0,0,0,12.516806722689076,4.0,4.0,17.05426356589147
10025,0,0,0,0,4.0,3.0,28.0,47.0
10084,0,0,0,0,12.516806722689076,16.694117647058825,34.0,12.0
10010,0,0,0,0,10.0,19.0,17.0,10.0
10635,0,0,0,0,22.0,15.0,36.0,15.0
10422,0,0,0,0,13.0,15.0,33.0,4.0
10795,0,0,0,0,12.516806722689076,5.0,26.0,11.0
10357,0,0,0,0,3.0,10.0,32.0,20.0
10802,0,0,0,0,17.0,17.0,17.0,18.0
10529,0,0,0,0,3.0,16.694117647058825,3.0,17.05426356589147
10468,0,0,0,0,1.0,5.0,17.0,8.0
10247,0,0,0,0,18.0,16.694117647058825,22.843866171003718,17.05426356589147
10118,0,0,0,0,3.0,14.0,31.0,8.0
10342,0,0,0,0,16.0,12.0,82.0,72.0
10541,0,0,0,0,8.0,4.0,29.0,11.0
10250,0,0,0,0,14.0,5.0,1.0,5.0
10318,0,0,0,0,12.516806722689076,16.694117647058825,5.0,7.0
10843,0,0,0,0,4.0,35.0,68.0,61.0
10196,0,0,0,0,12.516806722689076,16.694117647058825,7.0,10.0
10588,0,0,0,0,12.516806722689076,7.0,1.0,7.0
10081,0,0,0,0,14.0,15.0,45.0,30.0
10352,0,0,0,0,22.0,33.0,14.0,15.0
10583,0,0,0,0,12.0,9.0,19.0,18.0
10603,0,0,0,0,2.0,6.0,22.843866171003718,17.05426356589147
10239,0,0,0,0,11.0,7.0,17.0,11.0
10761,0,0,0,0,8.0,8.0,26.0,16.0
10211,0,0,0,0,12.516806722689076,4.0,22.843866171003718,17.05426356589147
10930,0,0,0,0,8.0,2.0,22.843866171003718,17.05426356589147
10963,0,0,0,0,3.0,16.694117647058825,3.0,1.0
10420,0,0,0,0,12.516806722689076,16.694117647058825,3.0,2.0
10227,0,0,0,0,12.516806722689076,16.694117647058825,12.0,21.0
10833,0,0,0,0,1.0,5.0,3.0,17.05426356589147
10752,0,0,0,0,16.0,22.0,37.0,4.0
10907,0,0,0,0,9.0,7.0,52.0,46.0
10743,0,0,0,0,12.516806722689076,16.694117647058825,3.0,7.0
10380,0,0,0,0,12.516806722689076,24.0,6.0,18.0
10478,0,0,0,0,33.0,29.0,16.0,18.0
10439,0,0,0,0,1.0,18.0,21.0,3.0
10296,0,0,0,0,7.0,3.0,10.0,3.0
10344,0,0,0,0,7.0,21.0,25.0,12.0
10007,0,0,0,0,3.0,7.0,52.0,58.0
10155,0,0,0,0,12.0,8.0,10.0,26.0
10526,0,0,0,0,4.0,4.0,18.0,24.0
10411,0,0,0,0,5.0,3.0,14.0,1.0
10513,0,0,0,0,6.0,14.0,16.0,41.0
10837,0,0,0,0,11.0,9.0,40.0,41.0
10758,0,0,0,0,1.0,6.0,17.0,2.0
10551,0,0,0,0,10.0,5.0,20.0,30.0
10433,0,0,0,0,18.0,7.0,1.0,17.05426356589147
10893,0,0,0,0,21.0,52.0,34.0,20.0
10909,0,0,0,0,12.516806722689076,16.694117647058825,22.843866171003718,1.0
10889,0,0,0,0,6.0,2.0,5.0,1.0
10613,0,0,0,0,2.0,2.0,9.0,8.0
